100 4012
97 23 86
29 69 88
79 62 91
14 35 84
8 33 94
28 2 59
17 24 80
52 10 82
81 25 70
34 31 68
92 47 61
86 47 60
44 50 66
72 2 70
58 46 70
3 55 75
17 90 62
3 77 63
55 18 74
69 85 98
2 86 56
71 82 70
62 79 76
4 11 78
64 45 75
7 57 65
59 6 81
4 31 82
4 10 77
65 94 52
37 89 61
92 10 90
36 38 75
97 44 60
97 46 72
47 89 88
63 99 64
55 83 86
72 84 85
11 89 68
3 66 84
82 64 52
35 66 80
84 47 53
22 49 93
34 83 54
39 14 73
22 79 83
4 34 62
52 93 58
21 18 87
56 83 62
46 68 75
58 66 60
1 10 86
72 40 53
52 45 74
20 27 51
16 40 67
70 25 73
79 19 87
56 70 91
1 77 77
24 35 52
69 67 80
27 97 55
61 50 69
59 56 83
43 76 82
3 86 76
65 19 59
68 77 59
47 54 74
35 90 91
58 90 95
36 78 66
62 38 50
40 54 70
73 82 88
27 92 63
60 23 70
81 80 72
77 25 66
31 84 72
62 95 58
96 38 85
68 9 74
67 75 94
20 24 97
36 48 53
84 18 54
64 65 85
90 67 65
66 22 63
9 73 64
76 61 89
92 46 68
47 31 63
63 88 99
48 23 92
54 49 57
55 79 92
86 30 58
6 89 59
34 22 89
88 64 55
69 24 73
24 82 64
47 43 86
48 76 91
80 15 59
11 3 82
3 92 87
38 74 84
84 49 72
37 9 80
3 23 67
88 100 73
27 22 52
5 34 50
31 68 52
49 71 92
11 96 58
11 18 79
48 85 92
42 51 96
36 52 64
21 35 85
36 13 51
99 23 76
36 59 83
58 47 97
67 45 98
99 63 82
68 72 81
97 85 52
90 2 56
7 24 93
33 15 65
90 83 93
49 63 77
40 85 77
80 75 69
58 73 62
72 94 90
74 3 92
21 71 95
54 89 88
55 67 81
14 75 70
79 94 72
27 74 68
7 65 53
93 67 51
51 37 76
29 48 95
55 73 96
1 13 64
63 39 82
70 94 76
20 63 75
91 20 74
56 68 83
62 37 96
40 4 60
78 69 83
50 92 92
33 51 61
25 67 83
84 69 97
4 25 64
68 31 55
31 15 63
71 51 79
32 72 65
85 38 66
9 39 90
52 6 62
86 73 92
51 1 88
9 18 70
47 87 74
34 26 90
37 30 66
87 8 65
26 85 65
49 32 87
96 51 75
41 40 52
90 36 99
67 95 67
31 90 85
96 87 64
15 69 69
13 29 76
30 54 69
28 26 86
63 56 91
12 66 52
34 91 73
38 50 52
34 89 61
50 29 56
31 62 70
2 4 63
90 64 80
62 94 78
56 39 71
57 41 87
83 4 67
50 97 80
35 92 57
93 37 54
49 5 56
73 90 95
61 53 92
15 34 91
50 60 61
84 94 86
79 96 87
53 48 65
25 82 85
50 13 83
93 9 79
36 24 69
36 49 60
51 82 66
13 100 87
28 53 66
99 41 51
28 73 68
9 80 76
49 9 69
39 85 72
77 86 63
9 100 66
5 69 76
79 72 67
69 68 54
23 19 84
95 62 85
61 12 90
8 58 54
4 60 53
85 50 73
39 87 67
66 85 67
35 49 67
54 77 63
48 92 55
76 92 69
37 36 86
7 16 50
95 9 94
13 44 88
67 55 58
39 70 89
55 35 79
42 81 77
92 49 90
19 36 82
60 46 91
96 58 83
21 27 61
33 98 92
11 92 70
54 92 55
87 2 59
86 10 61
75 74 67
66 79 59
67 89 69
36 12 51
80 43 61
62 7 57
83 17 74
96 7 96
19 56 87
59 72 88
17 84 51
42 94 77
22 31 81
89 98 65
17 37 59
70 65 70
32 71 79
71 93 83
19 17 63
43 69 70
9 96 65
64 57 70
61 68 59
29 93 94
96 17 71
49 77 74
7 77 88
32 1 92
4 17 58
72 38 57
51 23 66
81 14 57
23 9 59
62 44 99
20 93 57
45 9 59
51 87 54
61 62 91
93 8 82
84 91 93
69 13 90
16 8 97
90 57 82
36 2 52
47 68 99
14 91 91
7 66 76
25 71 94
22 95 68
33 50 67
31 99 99
43 18 83
53 7 77
66 97 76
9 19 78
13 42 99
91 11 51
23 87 54
98 85 53
42 16 59
72 97 99
30 65 73
65 93 72
55 33 76
43 26 65
86 52 87
64 46 63
65 67 83
19 69 84
37 94 74
88 82 55
51 60 89
8 14 74
27 21 63
22 13 72
65 90 98
5 35 64
81 26 93
2 77 81
28 65 95
62 15 69
85 99 69
74 24 58
22 81 56
5 51 99
18 75 67
16 24 81
31 10 76
13 67 64
36 34 91
86 84 68
3 1 84
84 34 86
44 12 88
11 34 96
66 65 92
91 57 72
39 12 71
45 81 93
80 68 98
11 5 76
59 98 84
92 91 59
74 31 90
63 28 55
78 92 82
8 95 91
29 20 72
53 59 72
56 79 94
46 22 88
60 82 99
57 27 94
90 59 92
94 97 71
41 35 74
38 46 87
32 15 55
88 81 63
84 33 96
32 11 59
45 82 73
99 21 85
16 33 54
25 47 58
42 30 58
11 99 56
25 97 77
55 4 87
64 96 67
44 5 66
12 33 69
98 87 83
23 78 71
54 48 69
82 94 72
18 54 68
57 17 76
14 57 79
8 45 63
50 62 77
60 30 61
68 84 77
17 72 58
72 82 80
44 63 67
37 42 65
88 24 82
8 84 75
26 71 97
84 90 59
86 18 89
32 17 85
74 15 55
78 51 66
28 56 51
61 48 94
60 8 55
26 98 92
57 52 81
55 36 67
96 32 60
42 69 66
94 47 81
43 14 61
21 61 92
4 63 91
24 8 60
38 15 65
1 80 84
73 14 86
21 45 90
86 65 63
6 44 68
66 68 70
68 86 93
64 84 86
23 5 67
100 70 56
12 100 54
62 17 81
27 35 66
85 40 67
14 95 56
71 46 65
34 96 87
38 14 87
87 71 90
78 48 59
69 62 69
64 38 63
69 3 52
10 86 58
71 33 55
78 15 73
32 94 64
14 90 96
37 34 73
2 98 71
92 61 98
74 4 84
31 94 71
78 40 59
68 51 99
84 40 83
30 73 63
41 45 98
65 8 76
71 28 67
78 26 84
42 83 67
58 86 99
90 62 78
76 82 96
82 99 65
89 60 93
82 9 75
53 69 71
47 98 76
3 15 67
5 28 55
37 53 75
38 17 98
59 78 77
6 2 74
32 5 82
13 4 84
100 64 63
52 49 60
78 76 52
22 72 59
32 77 60
80 51 66
8 66 52
45 99 71
25 35 85
92 4 68
21 54 50
92 69 94
43 19 82
55 80 89
86 56 85
93 50 53
26 63 93
52 48 86
4 83 76
52 11 59
25 7 88
15 20 59
9 10 64
13 79 82
41 22 76
81 72 68
67 57 70
35 60 57
78 5 96
79 34 94
90 22 55
43 68 54
97 78 73
98 5 89
12 1 58
5 73 95
10 7 60
83 7 73
40 99 72
20 86 73
2 94 75
87 91 54
28 100 67
99 60 53
41 82 84
31 92 74
19 74 95
21 29 73
93 33 90
15 30 53
18 80 65
48 82 66
100 10 82
13 15 99
58 35 79
43 81 74
52 64 99
2 6 75
43 63 87
19 86 82
77 13 67
82 32 95
68 74 67
28 22 71
92 89 53
1 24 66
14 63 53
9 67 79
63 46 70
17 92 97
95 69 63
98 61 72
41 17 82
44 74 80
94 5 83
59 50 94
79 89 93
29 5 96
39 25 77
71 15 68
64 88 71
11 51 50
36 20 67
2 81 81
99 28 85
68 94 82
38 40 74
35 28 85
53 99 88
87 36 70
4 57 76
38 32 80
74 100 68
30 2 83
25 42 59
53 52 89
56 6 67
28 79 92
16 53 74
21 77 94
38 26 85
23 51 90
49 24 58
33 39 63
43 24 76
8 18 93
83 38 54
87 13 89
23 20 55
51 28 57
47 6 89
20 97 57
87 59 59
96 34 85
31 48 69
71 67 65
13 45 62
52 16 89
67 98 61
6 100 52
84 77 89
40 76 95
81 74 55
83 60 79
57 21 80
21 63 87
47 57 98
14 25 73
25 64 81
2 15 96
48 11 84
51 22 88
45 97 56
74 84 70
61 91 55
80 4 52
91 71 68
88 25 74
35 88 71
89 30 77
26 23 67
81 82 99
4 59 59
1 75 88
80 23 76
98 40 66
39 9 55
85 42 77
78 79 72
46 6 91
51 88 85
35 23 53
44 21 81
65 15 78
2 42 77
40 16 97
19 35 52
55 10 80
46 16 84
59 17 69
73 40 68
46 45 69
44 93 64
66 98 98
92 36 78
98 23 51
33 59 89
30 80 69
66 29 95
39 11 92
96 61 80
61 30 78
32 62 74
17 32 55
93 51 87
46 59 88
71 61 82
28 20 74
71 23 95
29 55 87
60 67 58
28 8 89
58 18 52
76 43 60
44 42 65
60 36 71
5 29 83
88 10 85
73 61 82
75 34 83
80 60 50
52 42 84
26 35 77
91 93 51
60 58 57
50 36 51
90 88 83
15 71 55
83 11 63
18 53 78
44 58 81
1 89 75
88 72 50
39 28 59
6 39 92
42 99 51
71 74 93
51 16 55
3 53 70
50 64 92
50 61 73
33 49 80
62 98 56
11 70 90
14 31 75
63 68 82
66 5 56
95 59 86
31 4 85
73 50 96
99 9 61
38 62 73
2 65 61
16 43 96
65 76 94
21 13 65
36 89 86
96 2 50
92 81 54
99 88 97
11 82 54
92 76 75
30 12 51
6 36 92
33 40 61
41 72 91
86 16 67
35 78 75
13 18 90
11 13 58
41 9 70
25 50 86
4 33 66
42 50 90
100 19 61
46 72 68
12 59 61
46 54 79
83 34 58
19 5 94
89 59 56
93 23 68
12 26 82
63 75 91
29 62 69
96 44 65
80 46 52
1 85 56
11 25 78
17 56 78
31 65 66
79 46 89
58 96 85
35 99 53
80 2 70
80 34 60
89 91 61
44 9 89
85 66 50
98 86 88
25 78 63
68 91 67
96 12 99
36 25 74
48 68 87
93 42 76
49 28 98
84 25 59
29 94 67
26 78 95
16 52 50
6 83 85
34 47 81
39 74 99
34 73 93
12 83 54
24 19 62
59 49 59
64 43 84
49 1 67
5 41 97
89 88 67
53 31 97
96 21 75
40 80 87
10 46 64
8 49 51
69 14 95
39 73 50
66 11 79
13 62 78
81 32 73
48 81 56
62 65 73
5 1 75
10 35 57
60 32 60
48 30 59
29 70 94
19 62 90
97 57 98
68 99 60
43 71 61
1 69 99
41 8 58
17 78 86
99 80 66
40 7 52
56 92 90
100 22 85
75 4 82
26 15 83
54 40 59
59 65 97
84 1 51
81 35 97
3 39 66
36 80 76
7 37 60
72 89 67
95 24 68
43 57 69
62 32 56
6 99 86
78 38 88
37 64 86
92 17 68
41 32 62
91 49 88
62 75 90
52 68 83
62 54 88
21 62 62
48 58 55
1 30 98
43 20 89
72 76 61
75 6 68
75 63 91
42 14 71
9 23 57
54 52 62
77 18 72
36 94 64
71 75 55
71 26 98
16 87 51
40 89 72
64 94 72
9 4 71
3 79 92
23 41 77
19 83 91
68 28 90
71 43 55
27 69 72
68 96 70
44 71 75
99 15 53
7 58 76
73 96 50
4 5 80
36 32 54
27 100 81
9 82 71
11 50 63
27 73 75
10 38 87
71 79 62
52 70 63
4 9 84
4 7 87
7 63 94
11 80 91
34 54 83
53 17 88
49 86 62
91 44 84
84 53 62
44 53 74
10 23 97
54 19 92
6 9 76
74 86 53
56 9 96
17 86 63
90 51 72
81 23 85
68 70 73
20 43 59
7 19 61
75 2 83
78 71 79
31 51 51
28 23 85
6 10 85
4 92 91
87 93 76
46 12 94
47 99 54
63 30 66
63 81 90
86 11 92
48 37 70
17 28 67
6 61 79
64 3 59
67 93 77
3 61 73
91 56 74
99 36 69
70 81 83
96 88 59
24 20 72
81 84 61
49 75 73
27 2 91
11 59 65
26 82 93
100 29 91
28 76 54
59 22 69
66 51 99
59 19 54
78 45 70
26 20 99
93 5 62
23 48 85
44 19 64
30 95 56
56 47 93
6 41 51
75 85 66
20 18 51
10 64 86
53 41 60
95 18 70
39 96 77
8 59 78
24 78 84
95 63 72
25 84 81
2 48 84
73 94 59
38 13 65
68 50 97
46 65 65
46 39 83
44 43 95
94 20 91
57 48 93
18 43 91
8 89 86
24 32 81
71 17 95
21 28 85
3 73 94
22 51 60
95 27 52
20 81 52
20 30 98
76 99 61
72 18 67
44 34 66
30 71 64
59 69 90
78 62 59
43 67 90
97 36 84
62 66 96
2 27 78
62 58 71
66 70 93
22 16 73
32 20 70
100 57 70
20 7 84
51 40 82
28 68 94
66 25 90
72 34 77
15 77 53
51 17 96
46 81 80
15 52 84
86 31 81
40 60 98
73 41 96
80 89 62
82 77 58
44 33 64
67 24 75
93 80 72
22 27 57
62 33 88
78 22 60
75 50 62
53 80 80
29 75 85
90 55 58
4 15 76
70 8 82
32 75 81
34 48 91
7 53 79
100 3 69
2 61 60
91 74 59
76 67 68
64 83 92
16 72 70
11 77 61
96 20 75
77 93 82
53 42 63
83 86 69
49 36 62
64 28 62
92 33 90
95 67 73
3 28 96
98 88 91
13 70 75
9 64 67
54 91 52
38 75 85
43 75 93
76 15 98
93 6 57
53 1 51
44 22 57
89 63 66
77 83 98
73 79 82
73 87 86
61 55 51
21 68 63
91 99 84
2 18 93
50 54 67
49 68 98
85 84 50
17 38 83
15 62 94
95 37 71
21 22 95
82 34 68
15 88 66
44 11 83
49 16 60
61 31 50
17 33 91
60 20 79
13 22 91
35 67 94
83 6 89
13 86 83
54 87 89
78 1 70
72 35 93
89 15 68
67 94 66
95 44 85
72 61 90
68 85 86
10 100 95
14 3 56
60 57 64
62 51 57
23 53 88
76 41 80
96 93 95
12 68 67
36 98 67
45 91 94
16 46 50
46 14 69
93 28 70
82 37 88
84 65 75
32 44 78
49 55 91
19 30 64
61 26 52
62 2 90
16 74 98
79 80 89
32 79 80
15 50 86
96 94 57
47 10 97
81 11 75
38 86 85
16 49 82
87 55 77
82 73 59
80 37 97
86 37 96
46 43 56
5 32 69
24 90 84
88 30 87
34 58 94
52 27 92
59 39 84
100 43 74
96 66 82
60 2 51
36 44 53
59 89 93
46 30 53
6 72 73
11 35 97
33 20 75
39 76 94
68 8 58
10 26 83
25 100 86
62 90 53
16 96 52
22 14 86
5 42 60
98 65 50
7 80 65
20 42 76
61 56 85
91 78 76
48 72 71
34 77 76
67 2 78
16 92 74
14 13 64
32 58 67
78 8 61
65 22 90
50 74 96
49 57 89
17 45 90
26 4 78
55 22 80
1 53 65
82 65 99
98 21 61
60 59 51
47 19 87
93 77 97
90 79 81
11 1 86
87 34 68
74 2 90
27 72 96
24 46 94
36 81 95
92 13 88
50 55 93
67 3 59
32 60 78
84 35 64
27 77 51
15 4 74
2 93 57
7 50 70
72 52 80
93 41 56
26 12 77
82 63 64
69 90 51
95 48 58
65 88 61
42 47 51
11 31 88
19 75 74
56 62 55
84 83 99
99 20 57
81 21 90
3 89 84
85 45 80
95 70 68
46 20 73
4 88 83
58 26 99
72 87 73
40 56 72
51 53 96
11 55 50
58 69 71
24 85 59
34 18 85
36 28 86
3 80 86
42 62 85
25 96 88
65 53 60
2 41 70
39 42 52
59 15 64
15 43 55
90 61 90
89 8 54
41 16 96
17 75 98
95 74 87
7 31 76
76 63 52
70 7 90
17 22 66
65 4 88
36 1 70
55 53 74
81 13 86
15 8 66
33 55 52
52 12 52
64 99 95
55 34 57
30 92 78
56 8 73
17 51 79
74 96 94
5 56 78
48 49 80
10 18 84
9 48 94
24 4 84
35 95 96
64 39 82
69 96 97
75 65 60
49 2 55
43 40 89
33 64 98
96 83 94
61 18 53
38 83 95
20 99 71
81 93 87
19 79 73
84 12 55
16 3 54
28 90 67
76 20 94
69 39 81
99 89 57
6 65 77
81 51 98
58 97 74
94 36 75
99 14 80
68 65 61
83 66 99
38 24 76
51 18 89
36 7 63
72 79 73
96 85 58
59 31 62
22 66 50
100 2 68
28 40 96
47 8 90
4 94 78
1 58 84
77 15 80
30 88 79
60 69 63
46 57 68
30 84 97
76 16 56
82 14 67
60 93 84
72 4 73
22 8 76
69 51 67
61 51 99
84 22 76
27 9 97
18 28 86
8 44 63
95 39 76
99 46 61
98 47 90
2 79 51
90 20 81
80 57 89
30 77 83
81 19 59
50 7 95
9 58 84
41 1 84
30 32 59
11 97 62
6 80 96
9 38 65
90 47 76
10 6 84
100 11 75
45 76 50
6 50 62
58 4 91
77 38 83
73 72 87
91 14 64
89 13 62
51 48 68
54 35 50
61 39 54
16 15 91
79 73 89
91 58 71
33 46 87
63 19 76
48 89 52
1 48 90
35 79 91
97 76 97
30 40 88
84 31 59
27 51 77
88 26 81
22 97 63
62 63 98
81 88 62
61 43 85
34 98 50
75 15 81
41 59 93
20 41 78
100 31 96
64 55 64
65 55 75
30 90 62
31 93 56
52 76 74
30 20 62
91 39 51
54 73 82
15 10 73
19 94 82
44 35 62
60 22 64
51 75 85
87 40 63
65 35 94
73 5 98
56 20 74
92 50 97
30 52 68
87 78 96
2 97 70
71 90 93
87 10 59
53 20 82
21 38 59
41 10 75
44 10 85
6 32 88
68 71 56
17 87 81
69 81 90
31 40 95
90 81 88
86 96 65
2 62 75
92 30 61
34 16 55
24 65 66
11 60 84
1 21 60
88 32 98
91 90 69
20 87 79
93 49 68
13 35 82
84 75 94
56 42 80
49 26 86
78 65 52
28 77 57
56 65 61
33 42 75
25 88 80
76 55 68
94 70 99
57 25 57
93 62 72
96 57 68
18 44 89
87 56 50
89 36 50
96 98 79
16 66 90
41 86 69
82 71 50
85 82 81
28 92 52
1 62 75
16 98 57
8 3 92
69 86 70
32 8 63
81 75 65
27 41 92
40 6 84
54 30 67
48 5 69
36 33 71
2 73 76
38 6 65
68 4 76
24 12 64
20 72 84
9 46 68
42 58 62
98 55 50
4 48 79
98 31 78
9 28 84
53 6 90
19 15 84
41 11 72
77 23 52
32 92 54
65 49 87
86 94 99
66 93 77
39 8 93
85 90 91
50 65 70
81 22 54
85 70 90
34 70 89
1 29 61
2 63 89
26 16 63
19 51 51
5 66 79
40 23 69
38 28 54
86 72 89
21 90 99
59 73 66
72 57 91
79 75 79
71 39 71
50 6 70
69 95 62
67 22 52
15 97 80
84 85 92
55 89 81
63 29 77
96 22 96
22 90 66
61 52 57
33 11 63
50 25 96
85 25 73
67 59 59
70 56 55
81 69 58
67 84 75
17 40 85
12 48 98
47 46 98
87 74 63
56 97 64
100 96 94
37 75 76
22 93 73
34 84 52
94 14 59
38 57 75
94 62 96
41 18 66
2 60 50
87 64 80
5 63 91
73 92 58
3 97 58
11 40 64
92 5 99
99 64 73
71 34 93
43 15 87
37 33 51
59 77 86
1 55 79
33 67 93
72 20 59
39 68 94
31 50 80
52 43 93
8 81 97
83 50 70
88 58 64
56 38 74
86 89 58
68 19 93
75 51 95
76 88 81
43 11 88
61 17 52
7 42 91
52 91 50
63 47 76
95 55 96
69 11 71
29 32 97
75 24 97
4 44 60
28 96 56
65 63 64
82 66 88
25 65 63
56 75 88
25 21 72
25 74 87
25 53 60
69 20 71
55 95 81
37 22 67
15 92 99
30 15 84
34 46 61
70 36 66
96 16 64
48 77 71
30 100 90
33 71 92
27 33 85
49 42 52
32 51 89
25 28 67
87 50 65
19 46 73
77 47 63
72 37 65
34 27 65
27 54 93
17 99 60
83 88 58
33 43 50
80 17 61
63 79 79
36 74 81
81 34 96
64 2 89
69 22 56
80 92 81
70 53 99
13 63 71
51 93 91
91 29 85
85 11 59
89 65 60
56 28 89
85 79 96
41 69 58
73 3 58
27 25 97
10 78 89
37 50 94
15 12 64
14 62 75
4 38 83
23 46 54
51 66 82
3 40 64
92 29 55
20 61 93
11 48 93
69 19 83
91 52 84
77 10 92
7 12 95
23 90 74
14 77 81
40 57 83
47 73 87
77 91 92
10 61 65
20 64 83
62 39 63
92 73 91
76 77 69
79 88 80
82 5 51
41 81 83
49 76 90
39 19 52
82 58 85
19 81 52
54 41 88
73 4 91
17 26 70
12 73 82
12 17 50
96 1 72
9 47 79
60 56 88
98 15 59
83 40 66
66 83 99
8 61 57
30 16 84
51 19 58
88 50 56
7 36 91
64 21 78
67 51 65
43 47 67
26 40 73
87 70 94
11 61 67
52 94 63
99 56 74
71 68 65
9 92 87
16 32 61
51 33 91
95 1 98
94 71 74
76 13 72
78 11 94
68 2 72
