101 10000
47 80 100
2 80 49
44 58 33
58 15 71
79 52 25
36 75 96
96 24 79
95 17 95
55 1 65
51 69 99
85 97 76
71 30 2
68 72 45
18 66 31
61 20 29
51 51 9
50 5 91
65 88 54
63 22 24
56 99 9
87 10 10
73 78 30
62 14 1
14 50 45
13 77 29
14 47 85
55 68 15
71 90 52
74 27 74
11 47 69
31 65 67
92 66 48
48 79 92
73 51 26
27 83 53
21 83 19
73 16 81
4 89 89
32 88 62
85 41 80
76 34 1
40 71 87
22 73 66
71 31 77
99 54 93
10 37 37
25 2 54
50 90 37
71 14 1
60 64 47
72 14 93
24 12 52
15 42 95
62 71 82
1 89 63
81 83 2
47 27 25
28 17 56
51 82 22
90 35 5
61 88 49
13 66 58
62 72 63
28 40 5
9 74 91
23 83 35
53 49 100
33 92 14
52 49 8
89 82 93
52 4 56
10 19 26
98 32 90
10 95 42
83 100 2
93 40 2
94 57 55
50 44 10
53 3 60
64 49 32
71 30 65
29 89 53
22 5 65
82 35 79
47 32 78
89 4 34
81 59 92
56 41 73
30 27 70
38 40 74
18 55 100
42 54 39
90 34 76
53 97 86
3 10 68
46 52 83
51 74 83
1 52 90
88 84 43
90 93 22
18 2 8
53 32 91
27 85 6
69 84 61
30 94 59
23 59 67
22 23 47
61 78 65
9 93 70
51 79 53
42 37 78
56 27 87
94 99 4
14 30 99
94 54 10
12 19 94
81 59 38
30 71 44
59 90 28
53 70 10
53 92 36
98 47 29
85 79 39
89 85 38
54 44 7
6 64 40
75 52 100
47 70 9
35 71 38
25 66 39
97 14 18
99 86 47
13 84 45
23 31 28
22 29 30
90 14 33
62 55 100
18 49 39
65 81 23
92 98 92
1 95 75
87 54 65
26 12 43
19 7 27
91 25 34
70 43 25
25 59 38
74 6 45
96 8 40
95 16 18
63 88 18
63 45 21
31 21 29
10 51 64
47 45 95
34 45 85
14 84 42
42 33 76
26 54 24
44 17 9
42 56 14
52 71 92
6 73 19
58 38 6
33 43 32
18 69 12
1 68 80
5 42 11
22 72 93
91 46 100
13 28 37
49 97 92
68 42 84
11 66 7
87 31 84
5 74 3
13 94 68
92 3 56
13 26 52
42 8 44
8 86 96
9 9 32
7 79 84
79 61 30
54 33 25
41 22 25
67 59 87
17 56 77
46 81 91
30 92 36
73 15 83
33 86 56
1 67 82
10 85 99
11 41 9
62 72 76
31 3 42
30 90 48
76 54 3
25 59 94
36 19 38
33 13 68
23 94 1
66 12 89
44 22 55
7 24 34
79 3 78
62 73 27
82 86 96
48 54 82
97 21 10
50 22 83
28 28 40
82 63 98
5 12 77
57 85 85
100 80 2
81 47 91
75 48 78
28 72 70
15 43 42
75 84 42
30 59 17
68 1 45
20 75 87
74 59 70
79 28 92
52 17 79
32 19 61
51 79 88
58 61 91
29 42 16
61 71 92
79 15 100
77 20 67
83 96 64
40 56 4
20 28 86
30 40 30
51 55 52
46 8 69
25 4 81
78 34 92
4 65 73
28 15 93
29 33 15
17 50 99
11 24 98
11 43 41
36 37 63
95 13 95
88 32 25
24 100 98
1 30 61
74 72 82
14 95 35
57 98 60
64 94 8
90 13 11
36 74 6
4 56 20
85 6 13
69 66 87
70 51 89
37 62 63
20 77 79
16 6 10
71 75 32
97 68 80
2 73 93
29 38 41
68 8 76
29 22 25
52 57 61
38 25 88
2 39 17
54 56 21
56 64 78
68 48 61
10 2 63
86 6 42
31 14 80
78 79 91
49 31 67
98 40 26
88 69 74
59 37 48
72 12 73
93 48 59
67 17 36
97 61 24
62 51 48
21 75 76
22 6 95
8 40 20
72 27 3
64 86 47
71 21 9
61 1 64
32 70 86
53 15 83
95 22 100
67 3 36
1 80 26
52 73 2
1 88 25
73 71 78
82 47 18
18 27 57
74 85 12
53 32 79
75 62 84
5 27 49
69 13 55
54 72 34
42 68 55
60 31 9
84 21 20
67 1 76
11 73 13
99 18 96
97 49 59
33 45 61
47 98 75
64 51 87
80 16 100
22 54 62
59 93 25
40 68 27
13 33 45
16 70 25
80 76 50
55 61 30
3 11 52
10 95 44
73 52 25
12 86 76
52 95 66
6 44 30
3 21 95
14 87 97
81 73 69
47 31 93
93 45 65
59 63 9
88 100 74
98 81 6
46 89 3
43 86 4
66 64 73
36 68 75
39 66 26
9 93 48
33 99 81
2 13 18
82 42 23
73 70 65
16 85 18
40 3 37
22 69 91
2 54 72
94 91 48
3 52 43
67 38 77
13 40 5
12 85 30
46 25 41
81 71 57
32 8 54
31 70 77
47 8 74
23 96 88
43 89 8
17 37 100
99 33 21
78 92 27
86 78 82
68 73 20
34 40 29
43 52 54
77 8 16
17 26 76
16 55 88
16 67 91
41 6 88
29 94 30
69 20 44
19 28 76
81 39 23
39 25 21
69 67 58
62 58 97
12 10 54
86 85 63
37 61 19
51 95 87
49 40 50
83 11 20
51 10 81
58 18 20
69 70 71
36 3 61
53 13 49
83 77 52
10 24 46
39 50 52
62 95 49
28 13 94
9 18 99
51 49 52
47 22 81
50 41 14
12 14 14
91 36 82
57 91 2
39 60 58
12 3 66
26 38 36
31 12 16
77 54 78
73 80 65
57 19 8
56 33 22
89 99 17
93 52 72
71 28 40
32 21 22
52 71 48
48 63 94
29 4 35
4 37 86
95 19 6
48 72 24
74 97 8
50 14 4
90 56 64
10 3 93
4 83 22
2 38 81
41 38 95
46 33 87
85 98 50
21 59 30
14 60 96
48 72 55
63 48 22
63 32 95
89 12 3
100 48 94
31 35 58
93 80 47
79 72 13
19 10 27
18 91 100
25 48 4
75 42 22
13 46 66
99 53 68
57 80 2
22 97 7
33 7 42
51 80 49
52 3 48
5 71 95
67 84 57
71 50 56
98 14 83
86 28 2
89 64 90
97 9 64
3 46 39
58 28 20
38 35 91
78 30 2
77 85 34
5 76 69
99 79 49
79 34 75
77 58 71
67 9 76
82 45 29
49 96 89
88 87 47
62 73 38
12 63 13
14 29 17
34 70 59
42 56 41
73 80 77
60 44 76
70 75 94
13 32 44
33 30 62
31 20 43
93 91 71
81 14 30
8 14 65
38 94 4
42 27 70
31 62 96
1 58 72
19 87 78
44 98 89
81 46 51
4 10 8
10 57 79
71 68 26
98 44 30
17 73 26
57 17 99
5 16 65
94 57 86
60 97 27
88 36 84
41 97 17
81 31 29
59 94 70
19 85 30
58 49 86
98 5 7
89 4 61
92 73 69
78 15 85
68 59 25
37 31 64
59 60 27
46 79 37
21 49 25
8 78 62
69 75 52
98 93 52
89 14 87
36 17 49
33 20 39
54 13 88
50 20 28
20 5 34
92 87 76
93 43 25
28 72 54
93 78 59
77 34 6
60 17 99
93 49 43
33 21 10
81 1 62
69 42 21
11 8 24
19 7 37
32 27 77
82 5 65
14 29 72
76 62 73
13 14 37
7 28 4
10 7 24
12 46 95
82 50 98
77 73 68
48 4 75
23 50 81
46 65 18
33 60 77
27 60 77
54 56 60
59 59 38
92 27 37
55 42 78
41 42 54
36 27 30
45 7 16
74 25 80
23 21 34
91 3 41
96 94 17
93 3 31
9 13 40
69 3 50
83 80 71
62 11 3
70 17 78
87 62 63
16 18 83
9 62 31
33 88 75
97 79 6
16 56 25
25 5 42
56 86 20
27 99 92
93 92 64
4 61 100
58 1 69
7 16 46
22 76 65
100 13 64
69 67 14
27 18 88
27 98 50
73 66 23
91 62 42
47 45 5
27 78 7
84 19 67
85 43 16
34 25 5
87 75 96
11 71 10
76 45 62
35 64 19
3 69 73
45 22 72
48 17 12
40 97 96
43 21 88
20 72 22
100 68 66
18 98 34
81 33 83
21 89 34
67 86 24
34 64 51
37 53 30
5 71 84
34 89 32
28 52 9
3 75 79
51 27 42
95 44 62
65 29 10
70 57 92
43 19 96
21 2 47
84 48 100
31 84 68
47 81 98
4 75 20
45 20 17
62 53 26
92 58 98
37 59 86
65 94 36
82 62 11
78 50 46
82 34 95
73 5 60
17 16 37
26 49 32
30 90 4
33 6 16
79 47 86
11 49 18
8 59 14
76 32 19
20 66 43
62 22 10
72 66 17
85 66 18
89 4 75
90 30 53
58 75 24
34 87 66
51 88 82
94 59 58
78 39 15
70 25 8
24 76 84
61 14 69
15 53 80
86 9 90
7 91 6
99 51 84
29 24 64
96 14 46
25 74 70
34 45 7
55 21 69
84 26 78
34 66 86
47 33 28
57 7 5
57 74 38
79 53 35
67 83 100
94 42 7
22 46 62
49 72 99
70 69 84
94 27 15
7 35 4
27 69 35
1 2 10
96 20 98
41 33 13
36 22 56
8 37 70
92 94 38
47 4 36
86 80 60
30 79 62
5 17 11
99 54 87
34 63 55
2 56 57
77 50 83
67 79 79
23 11 61
74 19 18
53 20 61
78 10 83
59 76 12
73 35 35
55 82 46
82 76 53
31 3 88
37 9 24
21 94 20
21 40 22
67 41 18
65 74 12
77 18 6
25 29 23
67 96 85
1 31 75
6 15 92
23 99 6
97 93 28
22 98 35
48 36 85
23 95 12
52 22 59
24 76 35
76 28 80
65 68 55
68 54 52
40 94 5
30 66 66
8 66 59
23 69 79
87 32 21
63 85 94
7 5 49
63 21 99
11 16 40
48 90 72
75 36 68
25 96 47
70 51 7
11 31 75
32 60 62
92 65 35
53 47 75
25 31 70
44 3 41
47 75 27
31 38 64
21 95 89
27 85 25
51 23 30
47 37 79
25 8 76
8 83 32
40 43 19
84 21 32
88 86 8
97 26 33
81 17 61
61 95 67
86 39 16
68 67 47
22 84 87
11 73 67
55 93 95
54 71 47
25 79 56
68 33 62
98 45 32
50 59 66
32 90 45
10 12 94
12 81 42
23 65 35
23 37 30
27 91 69
86 91 83
12 35 71
42 53 2
4 4 50
1 1 11
76 63 90
89 1 41
76 80 35
33 96 78
17 82 86
52 67 27
66 55 5
66 79 75
72 20 84
28 7 76
71 8 42
29 4 99
76 68 55
41 65 1
54 12 74
71 37 33
8 62 75
55 4 93
67 13 71
25 20 7
85 8 51
100 34 100
51 46 6
80 27 32
77 76 11
27 85 68
35 82 94
54 56 84
7 28 12
16 36 10
93 19 53
48 47 27
43 46 86
79 66 71
76 27 22
10 71 25
28 53 93
94 96 55
49 74 53
9 84 87
45 5 80
67 97 3
37 56 63
62 37 55
34 71 78
22 31 5
45 26 96
58 65 9
61 2 74
70 55 89
68 95 90
95 91 4
71 95 99
97 55 14
84 77 78
26 65 35
4 81 70
28 27 8
75 11 20
26 54 89
13 24 40
29 74 44
21 76 59
5 41 43
98 96 48
3 71 21
10 52 25
93 74 34
55 99 85
60 46 10
46 23 55
86 28 59
67 20 25
77 88 32
55 69 88
92 9 94
18 8 13
90 51 24
70 3 21
73 98 8
70 47 34
30 64 28
5 78 21
8 51 51
86 37 35
99 48 13
91 44 28
54 38 69
72 32 40
72 89 82
41 97 91
64 95 81
29 90 1
40 68 88
45 72 5
71 89 65
100 73 12
58 59 54
13 77 65
38 44 90
75 25 41
7 57 30
80 66 20
5 98 33
9 95 3
11 5 1
7 49 1
18 15 21
41 76 11
82 61 31
1 51 89
92 75 56
45 54 22
61 38 69
90 26 100
11 81 51
6 98 74
4 12 64
87 16 83
5 54 18
32 62 41
60 49 13
45 38 25
12 19 50
69 10 22
62 82 51
12 73 29
4 51 89
39 3 82
26 79 78
99 15 71
43 27 57
8 42 91
23 71 45
91 81 1
68 71 81
88 72 55
43 39 100
90 64 70
47 93 55
90 29 88
94 61 78
43 85 97
21 48 51
71 77 20
29 96 47
27 5 73
1 38 10
85 76 91
7 38 97
31 55 8
9 25 47
77 51 38
40 68 34
2 51 62
25 17 58
8 99 53
68 49 44
61 13 11
23 100 20
30 34 75
64 94 13
65 89 12
56 19 85
62 76 48
89 16 93
2 48 36
56 73 28
34 41 6
52 92 26
70 90 100
30 79 49
65 26 71
39 80 79
36 98 24
59 75 30
87 85 13
38 44 65
100 41 32
9 49 73
20 55 36
37 60 96
10 92 79
12 67 97
63 100 13
80 72 3
46 54 20
91 50 49
11 12 50
26 70 27
81 63 82
29 17 2
44 92 84
59 96 84
98 91 81
65 9 67
67 51 57
49 38 19
9 9 18
5 9 46
77 47 92
30 97 20
63 41 76
97 89 34
19 64 66
29 51 46
34 99 1
23 41 67
42 43 51
68 75 38
80 4 39
4 86 92
61 22 74
87 84 27
68 66 31
23 79 48
40 67 90
33 1 27
8 54 22
56 95 11
29 29 43
67 16 13
70 84 39
70 60 81
7 100 52
1 15 56
97 21 82
35 47 56
32 96 38
21 85 50
71 30 85
6 19 59
31 72 78
19 59 34
44 54 86
85 22 85
16 64 37
62 91 16
73 82 10
65 28 73
24 100 32
93 67 98
18 90 80
46 43 96
98 47 39
45 42 91
96 99 46
25 15 51
83 64 73
25 49 96
4 60 75
36 25 40
91 29 17
1 83 41
44 81 27
32 63 24
14 83 44
53 64 11
93 8 71
6 36 37
42 70 100
34 20 1
74 31 13
68 2 26
14 8 69
35 8 4
75 61 17
59 76 23
25 21 8
67 50 61
83 97 18
98 49 71
61 99 81
19 85 33
66 66 6
77 19 63
92 12 53
92 49 60
32 71 7
27 51 35
62 53 54
93 6 73
8 49 99
69 20 22
24 5 72
77 95 9
44 32 64
15 66 91
48 67 9
47 82 56
99 78 62
48 84 96
16 33 64
22 27 29
87 45 86
2 11 49
62 70 5
48 94 47
33 54 76
13 78 64
60 74 16
18 43 5
21 78 36
64 28 12
11 79 24
19 53 11
66 87 73
12 9 71
51 85 97
39 59 93
47 28 29
58 19 99
71 68 25
57 31 100
4 89 28
77 56 63
86 67 78
2 46 21
82 32 81
33 44 96
98 62 37
51 38 2
75 37 5
47 82 24
14 56 81
44 53 97
55 77 76
75 6 95
80 21 43
6 62 17
7 52 1
1 36 70
92 73 55
44 56 59
7 46 44
23 94 8
33 53 94
5 24 47
17 61 76
23 84 55
73 35 72
50 52 72
23 100 18
83 98 23
44 71 99
32 30 86
90 56 3
28 25 2
8 65 4
85 24 89
40 70 7
42 37 94
81 89 41
77 4 61
82 82 33
48 70 78
5 51 42
91 75 63
4 5 62
40 29 7
52 22 48
33 38 56
41 4 96
9 49 36
53 43 89
2 42 57
18 68 29
83 25 88
19 57 52
91 1 93
24 87 50
62 3 60
88 44 93
50 43 16
6 82 34
85 76 6
86 60 65
20 17 5
93 30 27
62 27 88
61 16 36
40 25 86
18 8 54
11 39 39
14 59 40
44 51 92
31 99 23
10 19 57
2 2 2
10 59 84
4 81 70
73 48 25
57 81 90
29 32 33
84 79 99
15 1 86
84 29 73
25 24 95
44 36 81
70 76 15
18 8 19
97 88 7
98 28 60
73 22 62
16 98 84
67 42 28
11 42 58
66 8 17
79 16 44
91 19 6
98 58 36
78 21 97
15 60 3
57 59 26
89 48 72
72 33 16
3 40 46
39 80 7
7 20 54
73 57 74
3 6 66
13 96 96
36 15 8
28 37 20
70 43 41
34 81 23
92 46 3
12 40 23
1 65 40
99 15 7
95 80 83
90 34 60
88 15 22
99 30 63
31 73 89
53 30 66
31 83 87
1 73 50
14 27 65
10 84 80
39 55 18
100 63 58
24 6 79
5 47 66
10 6 40
82 16 91
4 67 17
75 13 1
46 67 8
48 23 7
48 33 8
97 91 48
15 66 89
21 7 98
4 73 79
87 26 81
44 56 73
67 93 5
13 46 4
37 71 32
13 39 93
2 73 96
40 84 49
52 51 49
80 66 98
3 49 73
39 26 41
91 71 28
100 52 11
8 94 1
36 50 59
10 14 25
17 80 36
95 39 29
53 55 100
25 27 63
37 67 3
71 99 48
98 4 58
57 10 20
61 61 37
76 35 2
45 1 88
83 82 26
67 76 64
28 15 100
39 24 87
10 31 38
74 47 10
56 87 8
88 24 32
94 26 56
40 62 76
34 23 3
63 59 47
44 82 61
70 50 91
77 58 46
34 67 53
100 6 7
28 88 75
53 26 89
20 44 71
91 34 69
36 89 73
81 3 81
3 7 85
17 19 86
87 56 16
50 8 4
46 11 53
64 62 65
83 4 96
73 99 33
69 76 19
64 83 51
45 14 80
70 90 86
32 7 97
41 53 57
33 83 71
96 59 34
10 4 84
10 16 95
50 5 13
4 30 6
60 97 71
57 96 11
58 98 33
51 12 54
90 67 13
51 37 85
7 42 12
20 28 11
83 34 70
48 65 99
44 52 4
80 46 2
95 52 14
32 61 20
76 37 43
16 34 74
29 1 22
18 92 84
82 57 22
74 93 27
4 7 16
78 55 96
77 10 45
65 31 27
98 94 70
91 36 59
44 42 77
27 83 29
46 74 47
42 9 12
2 88 45
56 52 45
6 12 77
81 42 92
32 7 82
11 43 92
6 19 18
16 25 15
8 32 15
59 68 90
47 44 81
56 33 18
11 81 48
66 23 3
68 100 36
85 44 23
88 66 27
57 84 31
53 71 86
15 61 18
66 7 13
6 51 99
88 59 30
46 54 89
65 36 17
26 45 15
58 94 82
20 64 41
63 55 26
43 39 60
96 76 85
38 85 55
50 73 23
62 91 34
47 73 52
75 62 95
18 47 71
61 94 33
82 33 41
71 70 88
9 74 63
91 20 91
73 9 26
25 15 43
14 38 32
57 22 12
79 16 52
42 28 25
60 48 15
31 23 56
34 98 90
91 88 2
49 53 43
86 14 62
38 92 11
89 90 43
53 18 15
62 48 34
22 6 59
47 90 29
100 46 59
54 65 86
71 60 42
28 25 39
1 15 44
80 75 59
46 11 9
68 60 7
32 52 43
1 65 35
40 23 6
46 12 61
4 92 77
81 19 23
73 59 75
66 78 35
47 41 37
41 85 72
87 80 29
32 83 22
19 64 93
7 96 67
39 77 53
83 95 45
23 86 5
94 65 39
56 88 42
34 52 22
70 85 70
4 77 84
53 9 60
35 63 24
63 78 25
99 81 62
74 79 68
93 1 55
95 82 58
34 53 92
89 75 36
17 53 69
36 12 7
70 67 19
62 51 9
63 11 66
52 8 75
66 22 64
37 98 8
46 32 58
86 98 26
95 92 66
87 9 6
52 94 8
70 36 9
16 40 29
19 92 63
25 47 75
53 12 43
51 84 92
1 77 32
23 77 13
58 63 40
59 7 65
28 25 50
19 43 85
92 31 86
79 49 14
57 24 43
86 15 45
94 85 43
27 66 59
25 96 25
98 95 19
40 76 8
15 24 33
44 74 58
54 62 45
17 67 95
64 3 85
18 81 89
48 96 50
65 89 98
43 70 64
36 64 93
18 85 99
42 42 62
51 64 21
1 82 1
13 6 87
68 61 18
43 21 17
18 60 87
93 87 82
20 70 97
56 50 41
34 93 24
31 44 2
85 3 79
10 92 35
9 99 16
41 93 94
89 42 37
58 37 38
52 44 11
98 60 25
57 58 9
29 95 73
39 61 1
8 87 60
27 81 49
32 49 78
99 50 1
75 19 73
5 74 56
54 21 48
81 29 90
31 37 41
46 60 96
91 45 42
44 32 82
67 11 91
65 66 54
96 68 21
31 3 20
10 38 44
84 97 88
31 10 61
93 10 93
39 25 71
1 34 10
59 51 51
1 51 56
100 80 55
10 37 12
2 70 74
8 80 21
40 42 89
24 30 67
5 58 60
40 37 64
45 99 20
49 31 85
77 73 21
7 15 89
79 99 61
23 49 64
33 57 30
28 66 4
46 7 59
83 18 76
65 100 77
33 45 28
35 81 79
12 15 5
14 98 89
70 37 67
60 43 93
41 25 25
13 100 29
71 40 84
63 5 11
58 86 36
54 17 18
20 52 30
80 74 48
11 51 8
6 77 55
30 99 38
56 86 100
75 25 45
66 71 24
6 93 19
84 10 99
41 19 27
96 85 24
13 34 100
29 43 56
46 64 28
39 94 23
24 16 36
61 58 13
89 60 16
92 97 65
14 28 40
17 91 53
85 97 38
41 32 51
87 26 38
1 12 70
36 90 17
8 74 44
11 88 13
24 97 14
61 52 12
72 76 22
37 30 74
53 72 71
20 41 29
21 49 65
47 39 36
29 47 1
52 24 14
97 96 59
36 68 31
82 61 24
16 72 49
2 49 14
45 28 27
44 34 9
22 17 82
20 99 48
39 14 7
4 39 29
62 8 3
65 53 38
56 71 22
16 21 34
45 98 80
31 61 46
61 30 78
27 73 61
14 69 33
53 6 81
66 87 30
9 11 29
99 35 47
42 10 51
100 27 13
24 100 42
17 10 31
67 43 68
32 64 77
4 4 64
7 83 46
79 50 26
42 55 90
40 100 16
46 81 86
20 36 68
31 15 72
7 97 53
29 93 89
87 85 76
39 96 97
10 11 64
68 96 30
43 85 66
30 85 6
65 48 1
90 98 38
26 82 4
96 1 8
11 57 77
47 3 86
91 4 89
26 18 65
96 75 36
62 58 9
3 8 25
77 86 33
47 33 95
32 80 77
11 71 26
69 30 47
25 12 26
21 82 61
26 59 7
36 12 1
83 74 52
81 71 50
44 2 92
87 74 91
100 63 53
63 93 27
94 33 70
45 6 7
61 8 1
17 48 72
8 79 99
6 3 89
58 88 74
89 11 96
70 22 8
91 5 48
28 82 14
32 36 15
87 97 98
9 71 47
5 91 80
65 54 41
38 73 17
55 44 3
17 81 97
12 99 18
28 55 97
28 27 2
72 73 60
